City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nemuro,43.3236,145.575,267.98,69,48,4.17,JP,['dt']
84,jamestown,42.097,-79.2353,269.27,87,100,9.83,US,['dt']
85,alvorada,-12.48,-49.1247,298.4,82,90,1.12,BR,['dt']
86,callao,-12.0667,-77.15,298.31,69,0,7.72,PE,['dt']
87,hamilton,39.1834,-84.5333,271.89,74,100,6.26,US,['dt']
88,portland,45.5234,-122.6762,265.84,85,100,10.29,US,['dt']
89,ilulissat,69.2167,-51.1,269.16,86,100,0.51,GL,['dt']
90,bredasdorp,-34.5322,20.0403,292.61,82,94,1.74,ZA,['dt']
91,enewetak,11.3474,162.3373,300.06,75,48,9.46,MH,['dt']
92,jianshui,23.6363,102.8264,283.19,96,23,0.87,CN,['dt']
93,hadibu,12.65,54.0333,297.59,87,17,4.33,YE,['dt']
94,bathsheba,13.2167,-59.5167,299.49,73,20,7.2,BB,['dt']
95,yaren,-0.5472,166.916,301.41,80,98,5.1,NR,['dt']
96,newman,37.3138,-121.0208,282.06,79,100,1.79,US,['dt']
97,barra do garcas,-15.89,-52.2567,300.19,69,81,0.88,BR,['dt']
98,lata,40.1629,-8.3327,288.05,97,100,2.3,PT,['dt']
99,richards bay,-28.783,32.0377,297.78,95,64,2.98,ZA,['dt']
100,danilovka,50.3557,44.1168,243.37,95,7,1.34,RU,['dt']
101,prado,-17.3411,-39.2208,298.69,83,0,4.94,BR,['dt']
102,cabo san lucas,22.8909,-109.9124,296.82,57,0,3.6,MX,['dt']
103,lompoc,34.6391,-120.4579,291.23,69,0,7.6,US,['dt']
104,paragominas,-2.9667,-47.4833,295.4,98,94,1.15,BR,['dt']
105,korla,41.7597,86.1469,268.92,67,97,0.9,CN,['dt']
106,saint-joseph,-21.3667,55.6167,299.36,87,100,6.47,RE,['dt']
107,guerrero negro,27.9769,-114.0611,290.33,59,0,6.52,MX,['dt']
108,whitehorse,60.7161,-135.0538,252.09,74,100,0.0,CA,['dt']
109,newnham,-41.3833,147.1333,293.52,39,11,4.12,AU,['dt']
110,yuzhno-kurilsk,44.0306,145.8556,270.03,68,98,5.32,RU,['dt']
111,visakhapatnam,17.69,83.2093,295.09,100,40,1.03,IN,['dt']
112,alamogordo,32.8995,-105.9603,286.6,26,0,2.06,US,['dt']
113,wangqing,43.3218,129.7634,265.33,70,100,5.36,CN,['dt']
114,papatowai,-46.5619,169.4708,285.27,91,100,1.79,NZ,['dt']
115,nungwi,-5.7265,39.2987,300.67,86,100,6.12,TZ,['dt']
116,new norfolk,-42.7826,147.0587,294.66,32,4,1.14,AU,['dt']
117,hermanus,-34.4187,19.2345,292.04,89,55,1.33,ZA,['dt']
118,waddan,29.1614,16.139,283.96,74,44,4.16,LY,['dt']
119,kuloy,61.0305,42.4925,258.2,80,100,5.09,RU,['dt']
120,kailua-kona,19.6406,-155.9956,299.13,68,40,5.14,US,['dt']
121,sandnessjoen,66.0217,12.6316,273.21,86,75,3.6,NO,['dt']
122,rakops,-21.0167,24.3333,297.78,72,100,3.51,BW,['dt']
123,gustavsberg,59.3268,18.3898,271.47,94,85,2.1,SE,['dt']
124,shitanjing,39.2342,106.3439,265.55,86,2,2.84,CN,['dt']
125,mata-utu,-13.2816,-176.1745,301.84,76,74,2.43,WF,['dt']
126,olonkinbyen,70.9221,-8.7187,261.47,88,100,13.19,SJ,['dt']
127,bandarbeyla,9.4942,50.8122,298.22,84,64,7.84,SO,['dt']
128,san mariano,7.5,126.0,297.47,89,100,2.06,PH,['dt']
129,vernon,50.2581,-119.2691,255.54,57,38,0.45,CA,['dt']
130,chibougamau,49.9168,-74.3659,263.94,86,100,6.69,CA,['dt']
131,porto novo,6.4965,2.6036,302.05,76,100,3.15,BJ,['dt']
132,faro,37.0194,-7.9322,289.8,88,0,3.6,PT,['dt']
133,gargalianoi,37.0667,21.6333,281.12,69,11,2.38,GR,['dt']
134,punta arenas,-53.15,-70.9167,281.21,57,75,12.86,CL,['dt']
135,cadereyta,25.5833,-99.9833,291.97,42,0,2.13,MX,['dt']
136,higuera de zaragoza,25.95,-109.2833,294.11,46,0,5.3,MX,['dt']
137,flin flon,54.7682,-101.865,245.06,76,20,3.6,CA,['dt']
138,naracoorte,-36.9579,140.7383,294.6,39,68,6.74,AU,['dt']
139,weno,7.4515,151.8468,303.12,66,75,6.17,FM,['dt']
140,san felipe,10.3399,-68.7425,295.27,97,20,1.85,VE,['dt']
141,nikfer,37.4054,29.1373,271.52,63,0,2.05,TR,['dt']
142,narsipatnam,17.6667,82.6167,291.96,92,16,1.03,IN,['dt']
143,susuman,62.7833,148.1667,228.14,100,93,0.45,RU,['dt']
144,san antonio de pale,-1.4014,5.6325,299.94,74,93,2.28,GQ,['dt']
145,tofol,5.3248,163.0078,302.03,79,75,7.2,FM,['dt']
146,toamasina,-18.1667,49.3833,297.15,94,40,2.06,MG,['dt']
147,ciudad bolivar,8.1222,-63.5497,303.0,36,14,4.66,VE,['dt']
148,mananjary,-21.2167,48.3333,296.75,81,100,0.89,MG,['dt']
149,le krib,36.328,9.1361,275.99,85,1,1.64,TN,['dt']
150,agropoli,40.3469,14.9966,277.09,70,0,1.38,IT,['dt']
151,muang phonsavan,19.45,103.2167,286.78,96,80,1.3,LA,['dt']
152,coquimbo,-29.9533,-71.3436,291.0,82,0,4.12,CL,['dt']
153,qaqortoq,60.7167,-46.0333,276.54,97,100,6.41,GL,['dt']
154,pekanbaru,0.5333,101.45,297.33,100,20,0.0,ID,['dt']
155,haiku-pauwela,20.9219,-156.3051,296.62,58,40,5.14,US,['dt']
156,port lincoln,-34.7333,135.8667,292.02,67,85,9.67,AU,['dt']
157,quatre cocos,-20.2078,57.7625,300.98,88,100,7.62,MU,['dt']
158,tinajo,29.0788,-13.7081,290.64,34,100,2.57,ES,['dt']
